power,L_over_R_H,N_eff,sigma_0_eff,L_metres,L_over_l_P
2,2.0918677460527932e-48,4.375910666975994e+26,4.780416935472758e-14,2.9286148444739107e-22,18119757367951.906
2,2.6345179905070755e-48,6.940685042305439e+26,3.795760756249481e-14,3.688325186709906e-22,22820193513461.09
2,3.3179368320019375e-48,1.1008704821155053e+27,3.01392115231028e-14,4.645111564802712e-22,28739967175988.395
2,4.178640973727482e-48,1.7461040387314163e+27,2.3931225637410235e-14,5.850097363218475e-22,36195386020265.83
2,5.262619896467023e-48,2.7695168174690583e+27,1.9001942372302704e-14,7.367667855053832e-22,45584810905790.43
2,6.627793186545325e-48,4.392764252361663e+27,1.5087978333874968e-14,9.278910461163454e-22,57409941260280.42
2,8.347105317848905e-48,6.967416718726148e+27,1.1980201062776399e-14,1.1685947444988468e-21,72302622079984.08
2,1.0512423249521835e-47,1.1051104257708722e+28,9.512554586740841e-15,1.471739254933057e-21,91058604918967.42
2,1.3239445097305484e-47,1.7528290648456622e+28,7.553186652841831e-15,1.853522313622768e-21,114680066797799.1
2,1.667388216056999e-47,2.7801834630457416e+28,5.997403546276564e-15,2.3343435024797986e-21,144429158918598.78
2,2.0999244625529022e-47,4.409682748428095e+28,4.7620760547943165e-15,2.939894247574063e-21,181895446422381.53
2,2.644664695337724e-47,6.994251350765777e+28,3.7811976760717484e-15,3.7025305734728134e-21,229080842656190.6
2,3.330715687869451e-47,1.1093666993419672e+29,3.0023577324297738e-15,4.6630019630172315e-21,288506576191085.6
2,4.194734785463232e-47,1.7595799920375267e+29,2.383940942978039e-15,5.872628699648525e-21,363347906094553.44
2,5.282888594922589e-47,2.7908911906363163e+29,1.8929038196283473e-15,7.396044032891624e-21,457603783616547.1
2,6.653319776754533e-47,4.426666405175299e+29,1.5030090744981398e-15,9.314647687456346e-21,576310525718797.1
2,8.379253746576943e-47,7.021189334952375e+29,1.1934236988687872e-15,1.173095524520772e-20,725810917535148.9
2,1.055291128420298e-46,1.1136393657225859e+30,9.476058057049478e-16,1.477407579788417e-20,914093122550845.6
2,1.3290436110465382e-46,1.766356920063622e+30,7.524207570679813e-16,1.8606610554651537e-20,1151217509282355.5
2,1.6738100723993715e-46,2.801640158465589e+30,5.97439348997656e-16,2.34333410135912e-20,1449854200827913.8
2,2.108012209064772e-46,4.443715473566141e+30,4.743805542016542e-16,2.951217092690681e-20,1825960069847072.8
2,2.654850479658166e-46,7.048231069341193e+30,3.766690469622072e-16,3.716790671521433e-20,2299631352429804.0
2,3.343543760815394e-46,1.1179284880487548e+31,2.990838677571634e-16,4.6809612651415516e-20,2896177438053742.5
2,4.210890581652256e-46,1.7731599490647678e+31,2.3747945490609806e-16,5.895246814313158e-20,3647473210794805.5
2,5.303235357183856e-46,2.8124305253684985e+31,1.8856413729505374e-16,7.424529500057399e-20,4593662200616486.0
2,6.678944681257818e-46,4.46083020553021e+31,1.4972425251644308e-16,9.350522553760946e-20,5785301548184504.0
2,8.411525993255078e-46,7.075376953520582e+31,1.1888449263568425e-16,1.1776136390557108e-19,7286063393806737.0
2,1.0593555256379544e-45,1.1222341296996665e+32,9.439701552486736e-17,1.4830977358931361e-19,9176137032170890.0
2,1.3341623512779357e-45,1.7799891795674698e+32,7.495339671683464e-17,1.86782729178911e-19,1.155651361814262e+16
2,1.6802566621772363e-45,2.823262450790987e+32,5.951471715661725e-17,2.3523593270481307e-19,1.455438236570424e+16
2,2.116131105098831e-45,4.4780108539668e+32,4.7256051271610424e-17,2.9625835471383637e-19,1.8329926571848896e+16
2,2.6650754939809617e-45,7.102627388617868e+32,3.7522389225314135e-17,3.7311056915733465e-19,2.308488259323774e+16
2,3.356421240396705e-45,1.1265563542986155e+33,2.9793638175219247e-17,4.698989736555386e-19,2.9073319102217076e+16
2,4.227108601024354e-45,1.7868447124854072e+33,2.3656832468360767e-17,5.917952041434096e-19,3.661521258362137e+16
2,5.3236604839093894e-45,2.8341360947938355e+33,1.8784067898816447e-17,7.453124677473145e-19,4.61135444436252e+16
2,6.7046682787072e-45,4.4952576727502563e+33,1.4914981001756898e-17,9.386535590190079e-19,5.8075833270059976e+16
2,8.443922534761503e-45,7.129982777305313e+33,1.184283721082532e-17,1.1821491548666105e-18,7.314125276436022e+16
2,1.0634355766636436e-44,1.1308952257139364e+34,9.403484535822448e-18,1.488809807329101e-18,9.211478432110656e+16
2,1.3393008060629706e-44,1.793726649120923e+34,7.466582529279702e-18,1.8750211284881587e-18,1.160102291091541e+17
2,1.686728080650094e-44,2.84505161805355e+34,5.928637884623245e-18,2.3614193129101317e-18,1.4610437789272928e+17
2,2.124281270625793e-44,4.5125709167315345e+34,4.707474541285248e-18,2.9739937788761102e-18,1.8400523301558912e+17
2,2.6753398893983625e-44,7.157443523806043e+34,3.7378428212532e-18,3.745475845157708e-18,2.3173792781199178e+17
2,3.3693483169003917e-44,1.1352508080599502e+35,2.9679329827197653e-18,4.717087643660548e-18,2.91852934324135e+17
2,4.24338908322878e-44,1.8006350911665188e+35,2.3566069016680963e-18,5.940744716520292e-18,3.6756234112317005e+17
2,5.344164276915722e-44,2.856009181866215e+35,1.8711999635182058e-18,7.481829987682011e-18,4.6291148288370406e+17
2,6.730490949213374e-44,4.529950841744314e+35,1.4857757146480898e-18,9.422687328898723e-18,5.829950922904321e+17
2,8.476443849811229e-44,7.185010033900261e+35,1.1797400156461486e-18,1.1867021389735722e-17,7.342295237902263e+17
2,1.0675313417871681e-43,1.1396231656979115e+36,9.367406471887625e-19,1.4945438785020355e-17,9.246955947557999e+17
2,1.3444590513311895e-43,1.807570140706362e+36,7.437935718532073e-19,1.882242671863665e-17,1.1645703628843622e+18
2,1.6932244234443327e-43,2.8670089481483926e+36,5.90589165945182e-19,2.370514192822066e-17,1.4666709107300925e+18
2,2.1324628260784346e-43,4.5473977046064245e+36,4.689413516478428e-19,2.985447956509808e-17,1.8471391930789437e+18
2,2.685643817584543e-43,7.212682714930079e+36,3.7235019530601636e-19,3.7599013446183604e-17,2.326304540198397e+18
2,3.3823251813463435e-43,1.1440123632369576e+37,2.9565460042548226e-19,4.735255253884881e-17,2.9297699025740867e+18
2,4.259732268837785e-43,1.8145319002177906e+37,2.3475653794383596e-19,5.963625176372899e-17,3.689779877787168e+18
2,5.3647470391818184e-43,2.8780510794410086e+37,1.8640207873669116e-19,7.510645854854546e-17,4.646943616480411e+18
2,6.756413074350913e-43,4.564911763125996e+37,1.4800752840234975e-19,9.458978304091278e-17,5.852404666399348e+18
2,8.509090418962594e-43,7.240461975808102e+37,1.1752137429066328e-19,1.1912726586547633e-16,7.370573694465065e+18
2,1.0716428815305335e-42,1.1484184655350651e+38,9.331466827566547e-20,1.500300034142747e-16,9.282570102754497e+18
2,1.3496371633045779e-42,1.821520472572828e+38,7.409398816134452e-20,1.889492028626409e-16,1.169055643216206e+19
2,1.699745786554668e-42,2.8891357389103473e+38,5.883232704032578e-20,2.3796441011765355e-16,1.4723197151294415e+19
2,2.140675892353372e-42,4.5824932761029054e+38,4.67142178585774e-20,2.9969462492947204e-16,1.8542533506746896e+19
2,2.6959874307978434e-42,7.268348227019956e+38,3.709216106041202e-20,3.7743824031169807e-16,2.335264177445379e+19
2,3.395352025490151e-42,1.1528415377000071e+39,2.945202713864818e-20,4.753492835686211e-16,2.9410537543186014e+19
2,4.276138399350171e-42,1.828535961039704e+39,2.3385585465427555e-20,5.986593759090239e-16,3.703990867214789e+19
2,5.38540907485355e-42,2.9002630903514966e+39,1.8568691553430302e-20,7.53957270479497e-16,4.664841070743768e+19
2,6.782435037163997e-42,4.600142503334979e+39,1.4743967240682034e-20,9.495409052029596e-16,5.874944889283928e+19
2,8.541862724625193e-42,7.296341880634133e+39,1.1707048359804668e-20,1.195860781447527e-15,7.398961063987595e+19
2,1.0757702566488599e-41,1.157281645090354e+40,9.295665071788724e-21,1.506078359308404e-15,9.318321423960972e+19
2,1.3548352184986857e-41,1.8355784692843813e+40,7.380971400404809e-21,1.89676930589816e-15,1.1735581983648372e+20
2,1.7062922663454514e-41,2.911433298190297e+40,5.8606606835404986e-21,2.388809172883632e-15,1.4779902755961356e+20
2,2.1489205908128477e-41,4.6178597056194385e+40,4.653499083564281e-21,3.008488827137987e-15,1.8613949080670975e+20
2,2.7063708818830187e-41,7.324443350304269e+40,3.6949850690982434e-21,3.7889192346362264e-15,2.3442583222549823e+20
2,3.408429041825941e-41,1.16173885331625e+41,2.9339029439330406e-21,4.771800658556317e-15,2.9523810652132966e+20
2,4.292607717194858e-41,1.8426481013720852e+41,2.3295862698897673e-21,6.009650804072801e-15,3.718256589506483e+20
2,5.406150689248188e-41,2.922646527485866e+41,1.849744961768844e-21,7.568610964947463e-15,4.68280745609292e+20
2,6.808557222172081e-41,4.635645144759161e+41,1.4687399508716734e-21,9.531980111040914e-15,5.8975719246287956e+20
2,8.574761251066461e-41,7.352653051279087e+41,1.1662132282407605e-21,1.2004665751493046e-14,7.427457765942283e+20
2,1.0799135281312105e-40,1.1662132282407988e+42,9.26000067552167e-22,1.5118789393836948e-14,9.354210439464657e+20
2,1.3600532937237584e-40,1.8497449617688436e+42,7.352653051278966e-22,1.9040746112132616e-14,1.1780780948632868e+21
2,1.7128639595522582e-40,2.93390294393304e+42,5.838175264434891e-22,2.3980095433731614e-14,1.4836826759225255e+21
2,2.157197043286526e-40,4.653499083564129e+42,4.63564514475916e-22,3.020075860601136e-14,1.868563970785016e+21
2,2.716794324273497e-40,7.380971400404688e+42,3.680808631943133e-22,3.803512053982896e-14,2.353287107531235e+21
2,3.421556423589222e-40,1.1707048359804668e+43,2.922646527485866e-22,4.790178993024911e-14,2.963752002638761e+21
2,4.309140465734472e-40,1.85686915534303e+43,2.3206484168985077e-22,6.03279665202826e-14,3.7325772554629436e+21
2,5.426972188858921e-40,2.945202713864819e+43,1.842648101372085e-22,7.597761064402489e-14,4.70084303801225e+21
2,6.834780015375579e-40,4.67142178585774e+43,1.463104880845311e-22,9.568692021525811e-14,5.920286106787487e+21
2,8.607786484418962e-40,7.409398816134575e+43,1.1617388533162502e-22,1.2050901078186546e-13,7.456064221417131e+21
2,1.0840727572015965e-39,1.1752137429066715e+44,9.224473111762164e-23,1.5177018600822351e-13,9.390237679587906e+21
2,1.3652914660858725e-39,1.864020787366911e+44,7.324443350304389e-23,1.9114080525202216e-13,1.1826153995008347e+22
2,1.7194609632832096e-39,2.956546004254823e+44,5.81577611445484e-23,2.4072453485964933e-13,1.489397000223661e+22
2,2.1655053720733246e-39,4.689413516478428e+44,4.617859705619514e-23,3.0317075209026545e-13,1.8757606447637621e+22
2,2.7272579119936478e-39,7.437935718531952e+44,3.66668658509452e-23,3.8181610767911067e-13,2.3623506666900374e+22
