# tc_Gyr ll dlnL_vs_LCDM max_abs_rank1_amp
3.937226329963475280e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.414431060499014937e-61
4.085285803928557158e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.400197540266026696e-61
4.238913057338774593e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.386615430088401649e-61
4.398317466650219387e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.373650251823307622e-61
4.563716281924754270e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.361269689020770637e-61
4.735334922917111555e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.349443427624000115e-61
4.913407286296357057e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.338143010108975682e-61
5.098176064420419351e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.327341701797773398e-61
5.289893076098145741e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.317014368210827260e-61
5.488819609789666032e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.307137362439400625e-61
5.695226779712819365e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.297688421622728829e-61
5.909395895340964699e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.288646571706160326e-61
6.131618844795768553e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.279992039738475389e-61
6.362198492657482518e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.271706173039593658e-61
6.601449092734883095e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.263771364635093403e-61
6.849696716357439641e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.256170984412293669e-61
7.107279696773412070e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.248889315504838842e-61
7.374549090259546347e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.241911495459492477e-61
7.651869154570817955e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.235223461780799097e-61
7.939617845382275618e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.228811901486931932e-61
8.238187331399601021e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.222664204343893327e-61
8.547984528840405005e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.216768419475687566e-61
8.869431656014704402e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.211113215075503125e-61
9.202966808760409378e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.205687840967666873e-61
9.549044557518077170e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.200482093792416828e-61
9.908136566858665617e+01 2.489956252063911535e+01 0.000000000000000000e+00 1.195486284605689973e-61
1.028073223830864720e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.190691208704318068e-61
1.066733937734856994e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.186088117503481266e-61
1.106848488549411940e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.181668692308189394e-61
1.148471547840289020e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.177425019834059077e-61
1.191659843098558724e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.173349569344917374e-61
1.236472235053714996e+02 2.489956252063911535e+01 0.000000000000000000e+00 1.169435171285872512e-61
